Address,DevType,Zoning,Dwellings,SqFt,DUAC
3055 STOCKYARD RD,BNRHM,NRBC Special District,90,2.18276891449,41.0
1721 N RUSSELL ST,None,C1-4,57,1.46037734794,39.0
1014 COOLEY ST,None,RM1-45,4,0.10314409671,38.0
1335 DAKOTA ST,None,M1R-2,9,0.275354116072,32.0
1721 S 14TH ST W,None,RM1-45,4,0.193792593095,20.0
2010 STRAND AVE,None,RM2.7,4,0.218209017858,18.0
4979 POTTER PARK LOOP,None,WINDSOR PARK SPECIAL DISTRICT,4,0.244689839916,16.0
4979 POTTER PARK LOOP,None,WINDSOR PARK SPECIAL DISTRICT,4,0.244689839916,16.0
4971 POTTER PARK LOOP,None,WINDSOR PARK SPECIAL DISTRICT,4,0.276434763901,14.0
4987 POTTER PARK LOOP,None,WINDSOR PARK SPECIAL DISTRICT,4,0.296205554381,13.0
4987 POTTER PARK LOOP,None,WINDSOR PARK SPECIAL DISTRICT,4,0.296205554381,13.0
1545 MILWAUKEE WAY,BNMRB,C2-4,32,3.44282057585,9.0
1555 MILWAUKEE WAY,BNMRB,C2-4,32,3.44282057585,9.0
1575 MILWAUKEE WAY,BNMRB,C2-4,32,3.44282057585,9.0
1615 MILWAUKEE WAY,BNMRB,C2-4,32,3.44282057585,9.0
1550 MILWAUKEE WAY,BNMRB,C2-4,32,3.79642093995,8.0
1620 MILWAUKEE WAY,BNMRB,C2-4,32,3.79642093995,8.0
1690 MILWAUKEE WAY,BNMRB,C2-4,32,3.79642093995,8.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
4100 MULLAN RD,None,B2-2,18,5.32781820804,3.0
1335 DAKOTA ST,None,M1R-2,9,,
1721 N RUSSELL ST,None,C1-4,57,,
105 INEZ ST,None,M1R-2,3,,
2010 STRAND AVE,None,RM2.7,4,,
4987 POTTER PARK LOOP,None,WINDSOR PARK SPECIAL DISTRICT,4,,
1721 S 14TH ST W,None,RM1-45,4,,
4979 POTTER PARK LOOP,None,WINDSOR PARK SPECIAL DISTRICT,4,,
4979 POTTER PARK LOOP,None,WINDSOR PARK SPECIAL DISTRICT,4,,
4987 POTTER PARK LOOP,None,WINDSOR PARK SPECIAL DISTRICT,4,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
4100 MULLAN RD,None,B2-2,18,,
3055 STOCKYARD RD,BNRHM,NRBC Special District,90,,
4971 POTTER PARK LOOP,None,WINDSOR PARK SPECIAL DISTRICT,4,,
1014 COOLEY ST,None,RM1-45,4,,
1550 MILWAUKEE WAY,BNMRB,C2-4,32,,
1545 MILWAUKEE WAY,BNMRB,C2-4,32,,
1555 MILWAUKEE WAY,BNMRB,C2-4,32,,
1575 MILWAUKEE WAY,BNMRB,C2-4,32,,
1615 MILWAUKEE WAY,BNMRB,C2-4,32,,
1620 MILWAUKEE WAY,BNMRB,C2-4,32,,
1690 MILWAUKEE WAY,BNMRB,C2-4,32,,
